date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2020-10-25,4,2020,17202000000,,AMAT,Applied Materials
2021-10-31,4,2021,23063000000,,AMAT,Applied Materials
2022-10-30,4,2022,25785000000,,AMAT,Applied Materials
2023-10-29,4,2023,26517000000,,AMAT,Applied Materials
2019-12-31,4,2019,624333000,,ENPH,Enphase Energy
2020-12-31,4,2020,774425000,,ENPH,Enphase Energy
2021-12-31,4,2021,1382049000,,ENPH,Enphase Energy
2022-12-31,4,2022,2330853000,,ENPH,Enphase Energy
2023-12-31,4,2023,2290786000,266.92,ENPH,Enphase Energy
2020-06-30,2,2020,5806424000,,KLAC,KLA Corporation
2021-06-30,2,2021,6918734000,,KLAC,KLA Corporation
2022-06-30,2,2022,9211883000,,KLAC,KLA Corporation
2023-06-30,2,2023,10496056000,,KLAC,KLA Corporation
2024-06-30,2,2024,9812247000,68.99,KLAC,KLA Corporation
2020-06-28,2,2020,10044736000,,LRCX,Lam Research
2021-06-27,2,2021,14626150000,,LRCX,Lam Research
2022-06-26,2,2022,17227039000,,LRCX,Lam Research
2023-06-25,2,2023,17428516000,,LRCX,Lam Research
2024-06-30,2,2024,14905386000,48.39,LRCX,Lam Research
2019-12-31,4,2019,2294965000,,TER,Teradyne
2020-12-31,4,2020,3121469000,,TER,Teradyne
2021-12-31,4,2021,3702881000,,TER,Teradyne
2022-12-31,4,2022,3155045000,,TER,Teradyne
2023-12-31,4,2023,2676298000,16.62,TER,Teradyne
