date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,7580300000,,AMT,American Tower
2020-12-31,4,2020,8041500000,,AMT,American Tower
2021-12-31,4,2021,9356900000,,AMT,American Tower
2022-12-31,4,2022,10711100000,,AMT,American Tower
2023-12-31,4,2023,11144200000,47.02,AMT,American Tower
2019-12-31,4,2019,5773000000,,CCI,Crown Castle
2020-12-31,4,2020,5840000000,,CCI,Crown Castle
2021-12-31,4,2021,6340000000,,CCI,Crown Castle
2022-12-31,4,2022,6986000000,,CCI,Crown Castle
2023-12-31,4,2023,6981000000,20.92,CCI,Crown Castle
2019-12-31,4,2019,2014645000,,SBAC,SBA Communications
2020-12-31,4,2020,2083138000,,SBAC,SBA Communications
2021-12-31,4,2021,2308834000,,SBAC,SBA Communications
2022-12-31,4,2022,2633454000,,SBAC,SBA Communications
2023-12-31,4,2023,2711584000,34.59,SBAC,SBA Communications
