date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-10-31,4,2019,5163000000,,A,Agilent Technologies
2020-10-31,4,2020,5339000000,,A,Agilent Technologies
2021-10-31,4,2021,6319000000,,A,Agilent Technologies
2022-10-31,4,2022,6848000000,,A,Agilent Technologies
2023-10-31,4,2023,6833000000,32.35,A,Agilent Technologies
2020-06-30,2,2020,738691000,,TECH,Bio-Techne
2021-06-30,2,2021,931032000,,TECH,Bio-Techne
2022-06-30,2,2022,1105599000,,TECH,Bio-Techne
2023-06-30,2,2023,1136702000,,TECH,Bio-Techne
2024-06-30,2,2024,1159060000,56.91,TECH,Bio-Techne
2019-12-28,4,2019,2621226000,,CRL,Charles River Laboratories
2020-12-26,4,2020,2923933000,,CRL,Charles River Laboratories
2021-12-25,4,2021,3540160000,,CRL,Charles River Laboratories
2022-12-31,4,2022,3976060000,,CRL,Charles River Laboratories
2023-12-30,4,2023,4129409000,57.54,CRL,Charles River Laboratories
2019-12-31,4,2019,17911100000,,DHR,Danaher Corporation
2020-12-31,4,2020,22284000000,,DHR,Danaher Corporation
2021-12-31,4,2021,29453000000,,DHR,Danaher Corporation
2022-12-31,4,2022,31471000000,,DHR,Danaher Corporation
2023-12-31,4,2023,23890000000,33.38,DHR,Danaher Corporation
2019-12-31,4,2019,11088000000,,IQV,IQVIA
2020-12-31,4,2020,11359000000,,IQV,IQVIA
2021-12-31,4,2021,13874000000,,IQV,IQVIA
2022-12-31,4,2022,14410000000,,IQV,IQVIA
2023-12-31,4,2023,14984000000,35.14,IQV,IQVIA
2019-12-31,4,2019,3008652000,,MTD,Mettler Toledo
2020-12-31,4,2020,3085177000,,MTD,Mettler Toledo
2021-12-31,4,2021,3717930000,,MTD,Mettler Toledo
2022-12-31,4,2022,3919709000,,MTD,Mettler Toledo
2023-12-31,4,2023,3788309000,25.91,MTD,Mettler Toledo
2019-12-31,4,2019,25542000000,,TMO,Thermo Fisher Scientific
2020-12-31,4,2020,32218000000,,TMO,Thermo Fisher Scientific
2021-12-31,4,2021,39211000000,,TMO,Thermo Fisher Scientific
2022-12-31,4,2022,44915000000,,TMO,Thermo Fisher Scientific
2023-12-31,4,2023,42857000000,67.79,TMO,Thermo Fisher Scientific
2019-12-31,4,2019,2406596000,,WAT,Waters Corporation
2020-12-31,4,2020,2365365000,,WAT,Waters Corporation
2021-12-31,4,2021,2785874000,,WAT,Waters Corporation
2022-12-31,4,2022,2971956000,,WAT,Waters Corporation
2023-12-31,4,2023,2956416000,22.85,WAT,Waters Corporation
