date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,10721000000,,SCHW,Charles Schwab Corporation
2020-12-31,4,2020,11691000000,,SCHW,Charles Schwab Corporation
2021-12-31,4,2021,18520000000,,SCHW,Charles Schwab Corporation
2022-12-31,4,2022,20762000000,,SCHW,Charles Schwab Corporation
2023-12-31,4,2023,18837000000,75.7,SCHW,Charles Schwab Corporation
2019-12-31,4,2019,33294000000,,GS,Goldman Sachs
2020-12-31,4,2020,40419000000,,GS,Goldman Sachs
2021-12-31,4,2021,59339000000,,GS,Goldman Sachs
2022-12-31,4,2022,47365000000,,GS,Goldman Sachs
2023-12-31,4,2023,39903000000,19.85,GS,Goldman Sachs
2019-12-31,4,2019,41377000000,,MS,Morgan Stanley
2020-12-31,4,2020,47996000000,,MS,Morgan Stanley
2021-12-31,4,2021,59751000000,,MS,Morgan Stanley
2022-12-31,4,2022,53388000000,,MS,Morgan Stanley
2023-12-31,4,2023,53611000000,29.57,MS,Morgan Stanley
2020-09-30,3,2020,7889000000,,RJF,Raymond James Financial
2021-09-30,3,2021,9630000000,,RJF,Raymond James Financial
2022-09-30,3,2022,10851000000,,RJF,Raymond James Financial
2023-09-30,3,2023,11468000000,,RJF,Raymond James Financial
