date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2020-08-30,3,2020,166761000000,,COST,Costco
2021-08-29,3,2021,195929000000,,COST,Costco
2022-08-28,3,2022,226954000000,,COST,Costco
2023-09-03,3,2023,242290000000,,COST,Costco
2020-01-31,1,2020,27753973000,,DG,Dollar General
2021-01-29,1,2021,33746839000,,DG,Dollar General
2022-01-28,1,2022,34220449000,,DG,Dollar General
2023-02-03,1,2023,37844863000,,DG,Dollar General
2024-02-02,1,2024,38691609000,39.41,DG,Dollar General
2020-02-01,1,2020,23610800000,,DLTR,Dollar Tree
2021-01-30,1,2021,25509300000,,DLTR,Dollar Tree
2022-01-29,1,2022,26321200000,,DLTR,Dollar Tree
2023-01-28,1,2023,28331700000,,DLTR,Dollar Tree
2024-02-03,1,2024,30603800000,29.62,DLTR,Dollar Tree
2020-02-01,1,2020,78112000000,,TGT,Target Corporation
2021-01-30,1,2021,93561000000,,TGT,Target Corporation
2022-01-29,1,2022,106005000000,,TGT,Target Corporation
2023-01-28,1,2023,109120000000,,TGT,Target Corporation
2024-02-03,1,2024,107412000000,37.51,TGT,Target Corporation
2020-01-31,1,2020,523964000000,,WMT,Walmart
2021-01-31,1,2021,559151000000,,WMT,Walmart
2022-01-31,1,2022,572754000000,,WMT,Walmart
2023-01-31,1,2023,611289000000,,WMT,Walmart
2024-01-31,1,2024,648125000000,23.7,WMT,Walmart
