date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,15309508000,,CHRW,C.H. Robinson
2020-12-31,4,2020,16207106000,,CHRW,C.H. Robinson
2021-12-31,4,2021,23102138000,,CHRW,C.H. Robinson
2022-12-31,4,2022,24696625000,,CHRW,C.H. Robinson
2023-12-31,4,2023,17596443000,14.94,CHRW,C.H. Robinson
2019-12-31,4,2019,8175426000,,EXPD,Expeditors International
2020-12-31,4,2020,10116481000,,EXPD,Expeditors International
2021-12-31,4,2021,16523517000,,EXPD,Expeditors International
2022-12-31,4,2022,17071284000,,EXPD,Expeditors International
2023-12-31,4,2023,9300110000,13.76,EXPD,Expeditors International
2020-05-31,2,2020,69217000000,,FDX,FedEx
2021-05-31,2,2021,83959000000,,FDX,FedEx
2022-05-31,2,2022,93512000000,,FDX,FedEx
2023-05-31,2,2023,90155000000,,FDX,FedEx
2024-05-31,2,2024,87693000000,26.69,FDX,FedEx
2019-12-31,4,2019,74094000000,,UPS,United Parcel Service
2020-12-31,4,2020,84628000000,,UPS,United Parcel Service
2021-12-31,4,2021,97287000000,,UPS,United Parcel Service
2022-12-31,4,2022,100338000000,,UPS,United Parcel Service
2023-12-31,4,2023,90958000000,22.76,UPS,United Parcel Service
