date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,3647700000,,LNT,Alliant Energy
2020-12-31,4,2020,3416000000,,LNT,Alliant Energy
2021-12-31,4,2021,3669000000,,LNT,Alliant Energy
2022-12-31,4,2022,4205000000,,LNT,Alliant Energy
2023-12-31,4,2023,4027000000,10.4,LNT,Alliant Energy
2019-12-31,4,2019,15561400000,,AEP,American Electric Power
2020-12-31,4,2020,14918500000,,AEP,American Electric Power
2021-12-31,4,2021,16792000000,,AEP,American Electric Power
2022-12-31,4,2022,19639500000,,AEP,American Electric Power
2023-12-31,4,2023,18982300000,21.98,AEP,American Electric Power
2019-12-31,4,2019,18924000000,,CEG,Constellation Energy
2020-12-31,4,2020,17603000000,,CEG,Constellation Energy
2021-12-31,4,2021,19649000000,,CEG,Constellation Energy
2022-12-31,4,2022,24440000000,,CEG,Constellation Energy
2023-12-31,4,2023,24918000000,31.67,CEG,Constellation Energy
2019-12-31,4,2019,25079000000,,DUK,Duke Energy
2020-12-31,4,2020,23366000000,,DUK,Duke Energy
2021-12-31,4,2021,24621000000,,DUK,Duke Energy
2022-12-31,4,2022,28768000000,,DUK,Duke Energy
2023-12-31,4,2023,29060000000,15.87,DUK,Duke Energy
2019-12-31,4,2019,12347000000,,EIX,Edison International
2020-12-31,4,2020,13578000000,,EIX,Edison International
2021-12-31,4,2021,14905000000,,EIX,Edison International
2022-12-31,4,2022,17220000000,,EIX,Edison International
2023-12-31,4,2023,16338000000,32.32,EIX,Edison International
2019-12-31,4,2019,10878673000,,ETR,Entergy
2020-12-31,4,2020,10113636000,,ETR,Entergy
2021-12-31,4,2021,11742896000,,ETR,Entergy
2022-12-31,4,2022,13764237000,,ETR,Entergy
2023-12-31,4,2023,12147412000,11.66,ETR,Entergy
2019-12-31,4,2019,5147800000,,EVRG,Evergy
2020-12-31,4,2020,4913400000,,EVRG,Evergy
2021-12-31,4,2021,5586700000,,EVRG,Evergy
2022-12-31,4,2022,5859100000,,EVRG,Evergy
2023-12-31,4,2023,5485300000,6.56,EVRG,Evergy
2019-12-31,4,2019,8526470000,,ES,Eversource Energy
2020-12-31,4,2020,8904430000,,ES,Eversource Energy
2021-12-31,4,2021,9863085000,,ES,Eversource Energy
2022-12-31,4,2022,12289336000,,ES,Eversource Energy
2023-12-31,4,2023,11910705000,39.69,ES,Eversource Energy
2019-12-31,4,2019,34438000000,,EXC,Exelon
2020-12-31,4,2020,33039000000,,EXC,Exelon
2021-12-31,4,2021,17938000000,,EXC,Exelon
2022-12-31,4,2022,19078000000,,EXC,Exelon
2023-12-31,4,2023,21727000000,-36.91,EXC,Exelon
2019-12-31,4,2019,11035000000,,FE,FirstEnergy
2020-12-31,4,2020,10790000000,,FE,FirstEnergy
2021-12-31,4,2021,11132000000,,FE,FirstEnergy
2022-12-31,4,2022,12459000000,,FE,FirstEnergy
2023-12-31,4,2023,12870000000,16.63,FE,FirstEnergy
2019-12-31,4,2019,7769000000,,PPL,PPL Corporation
2020-12-31,4,2020,7607000000,,PPL,PPL Corporation
2021-12-31,4,2021,5783000000,,PPL,PPL Corporation
2022-12-31,4,2022,7902000000,,PPL,PPL Corporation
2023-12-31,4,2023,8312000000,6.99,PPL,PPL Corporation
2019-12-31,4,2019,10076000000,,PEG,Public Service Enterprise Group
2020-12-31,4,2020,9603000000,,PEG,Public Service Enterprise Group
2021-12-31,4,2021,9722000000,,PEG,Public Service Enterprise Group
2022-12-31,4,2022,9800000000,,PEG,Public Service Enterprise Group
2023-12-31,4,2023,11237000000,11.52,PEG,Public Service Enterprise Group
2019-12-31,4,2019,21419000000,,SO,Southern Company
2020-12-31,4,2020,20375000000,,SO,Southern Company
2021-12-31,4,2021,23113000000,,SO,Southern Company
2022-12-31,4,2022,29279000000,,SO,Southern Company
2023-12-31,4,2023,25253000000,17.9,SO,Southern Company
2019-12-31,4,2019,11809000000,,VST,Vistra Corp.
2020-12-31,4,2020,11443000000,,VST,Vistra Corp.
2021-12-31,4,2021,12077000000,,VST,Vistra Corp.
2022-12-31,4,2022,13728000000,,VST,Vistra Corp.
2023-12-31,4,2023,14779000000,25.15,VST,Vistra Corp.
2019-12-31,4,2019,7523100000,,WEC,WEC Energy Group
2020-12-31,4,2020,7241700000,,WEC,WEC Energy Group
2021-12-31,4,2021,8316000000,,WEC,WEC Energy Group
2022-12-31,4,2022,9597400000,,WEC,WEC Energy Group
2023-12-31,4,2023,8893000000,18.21,WEC,WEC Energy Group
