date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,4357700000,,CHD,Church & Dwight
2020-12-31,4,2020,4895800000,,CHD,Church & Dwight
2021-12-31,4,2021,5190100000,,CHD,Church & Dwight
2022-12-31,4,2022,5375600000,,CHD,Church & Dwight
2023-12-31,4,2023,5867900000,34.66,CHD,Church & Dwight
2020-06-30,2,2020,6721000000,,CLX,Clorox
2021-06-30,2,2021,7341000000,,CLX,Clorox
2022-06-30,2,2022,7107000000,,CLX,Clorox
2023-06-30,2,2023,7389000000,,CLX,Clorox
2024-06-30,2,2024,7093000000,5.53,CLX,Clorox
2019-12-31,4,2019,15693000000,,CL,Colgate-Palmolive
2020-12-31,4,2020,16471000000,,CL,Colgate-Palmolive
2021-12-31,4,2021,17421000000,,CL,Colgate-Palmolive
2022-12-31,4,2022,17967000000,,CL,Colgate-Palmolive
2023-12-31,4,2023,19457000000,23.99,CL,Colgate-Palmolive
2019-12-31,4,2019,18450000000,,KMB,Kimberly-Clark
2020-12-31,4,2020,19140000000,,KMB,Kimberly-Clark
2021-12-31,4,2021,19440000000,,KMB,Kimberly-Clark
2022-12-31,4,2022,20175000000,,KMB,Kimberly-Clark
2023-12-31,4,2023,20431000000,10.74,KMB,Kimberly-Clark
