date,quarter,year,revenue,revenue_yoy_growth,ticker,company_name
2019-12-31,4,2019,2648848000,,CPAY,Corpay
2020-12-31,4,2020,2388855000,,CPAY,Corpay
2021-12-31,4,2021,2833736000,,CPAY,Corpay
2022-12-31,4,2022,3427129000,,CPAY,Corpay
2023-12-31,4,2023,3757719000,41.86,CPAY,Corpay
2019-12-31,4,2019,10333000000,,FIS,Fidelity National Information Services
2020-12-31,4,2020,12552000000,,FIS,Fidelity National Information Services
2021-12-31,4,2021,13877000000,,FIS,Fidelity National Information Services
2022-12-31,4,2022,14528000000,,FIS,Fidelity National Information Services
2023-12-31,4,2023,9821000000,-4.95,FIS,Fidelity National Information Services
2019-12-31,4,2019,10187000000,,FI,Fiserv
2020-12-31,4,2020,14852000000,,FI,Fiserv
2021-12-31,4,2021,16226000000,,FI,Fiserv
2022-12-31,4,2022,17737000000,,FI,Fiserv
2023-12-31,4,2023,19093000000,87.43,FI,Fiserv
2019-12-31,4,2019,4911892000,,GPN,Global Payments
2020-12-31,4,2020,7423558000,,GPN,Global Payments
2021-12-31,4,2021,8523762000,,GPN,Global Payments
2022-12-31,4,2022,8975515000,,GPN,Global Payments
2023-12-31,4,2023,9654419000,96.55,GPN,Global Payments
2020-06-30,2,2020,1697067000,,JKHY,Jack Henry & Associates
2021-06-30,2,2021,1758225000,,JKHY,Jack Henry & Associates
2022-06-30,2,2022,1942884000,,JKHY,Jack Henry & Associates
2023-06-30,2,2023,2077702000,,JKHY,Jack Henry & Associates
2024-06-30,2,2024,2215543000,30.55,JKHY,Jack Henry & Associates
2019-12-31,4,2019,16883000000,,MA,Mastercard
2020-12-31,4,2020,15301000000,,MA,Mastercard
2021-12-31,4,2021,18884000000,,MA,Mastercard
2022-12-31,4,2022,22237000000,,MA,Mastercard
2023-12-31,4,2023,25098000000,48.66,MA,Mastercard
2019-12-31,4,2019,17772000000,,PYPL,PayPal
2020-12-31,4,2020,21454000000,,PYPL,PayPal
2021-12-31,4,2021,25371000000,,PYPL,PayPal
2022-12-31,4,2022,27518000000,,PYPL,PayPal
2023-12-31,4,2023,29771000000,67.52,PYPL,PayPal
2020-09-30,3,2020,21846000000,,V,Visa Inc.
2021-09-30,3,2021,24105000000,,V,Visa Inc.
2022-09-30,3,2022,29310000000,,V,Visa Inc.
2023-09-30,3,2023,32653000000,,V,Visa Inc.
