Date,Sector_Index,Simple_Avg_Index
2019-09-30 00:00:00-04:00,-18.03127224621242,-30.030612895051576
2019-12-31 00:00:00-05:00,-19.767560127348123,-30.211048688842578
2020-03-31 00:00:00-04:00,-32.619109742803495,-61.50394990444461
2020-06-30 00:00:00-04:00,-32.6585403971161,-62.61209929463975
2020-09-30 00:00:00-04:00,-34.571183131195134,-31.690585802673926
2020-12-31 00:00:00-05:00,-13.40126028385694,-11.558629930698961
2021-03-31 00:00:00-04:00,73.82315697459583,70.3870419823669
2021-06-30 00:00:00-04:00,59.02963170931573,51.641687367974576
2021-09-30 00:00:00-04:00,44.90967554924017,39.77626903933424
2021-12-31 00:00:00-05:00,25.74145405247922,22.815061438554324
2022-03-31 00:00:00-04:00,28.332672200919376,23.2677126944206
2022-06-30 00:00:00-04:00,-4.116129629243485,-8.107195877462884
2022-09-30 00:00:00-04:00,-22.606378368848905,-24.349414943629842
2022-12-31 00:00:00-05:00,-18.176874516584665,-19.076095666709257
2023-03-31 00:00:00-04:00,-25.800842407714192,-27.679863836922312
2023-06-30 00:00:00-04:00,-3.4017402555382645,-7.095801044259246
2023-09-30 00:00:00-04:00,17.23594907634144,8.36164169989638
2023-12-31 00:00:00-05:00,24.41801213366278,13.48311818705205
2024-03-31 00:00:00-04:00,18.1390274788289,9.831595218657315
2024-06-30 00:00:00-04:00,21.537118734640103,16.05869467667857
2024-09-30 00:00:00-04:00,53.892278558152135,48.81343123604322
