Date,Sector_Index,Simple_Avg_Index
2019-09-30 00:00:00-04:00,-21.113890979951293,-29.665016826831565
2019-12-31 00:00:00-05:00,-20.728828492132806,-29.124004031446592
2020-03-31 00:00:00-04:00,-21.954442377530327,-30.845991540430106
2020-06-30 00:00:00-04:00,-10.217125227716027,-14.355060944941016
2020-09-30 00:00:00-04:00,20.174118376186236,18.14729780295536
2020-12-31 00:00:00-05:00,26.233725250287296,24.490650076069972
2021-03-31 00:00:00-04:00,85.54819246845933,86.86799391203765
2021-06-30 00:00:00-04:00,67.94769118654722,69.20896788127048
2021-09-30 00:00:00-04:00,45.48703808806944,47.76558686074026
2021-12-31 00:00:00-05:00,54.786092313032675,55.818652372409474
2022-03-31 00:00:00-04:00,14.95825660776798,14.538779125943435
2022-06-30 00:00:00-04:00,-4.924889151093765,-4.5368258508574995
2022-09-30 00:00:00-04:00,-1.1861100019614295,-1.3949690137824977
2022-12-31 00:00:00-05:00,-9.500534097358639,-9.484101883315398
2023-03-31 00:00:00-04:00,14.226673331929963,15.064311618432335
2023-06-30 00:00:00-04:00,19.632972954991985,19.72296451704322
2023-09-30 00:00:00-04:00,6.418053821912188,6.464612087310968
2023-12-31 00:00:00-05:00,3.008228077245061,2.2755502402632835
2024-03-31 00:00:00-04:00,4.0199241835809545,3.52671542119838
2024-06-30 00:00:00-04:00,-19.489372416635554,-19.95679202412282
2024-09-30 00:00:00-04:00,-2.350576702688041,-3.2309744014571797
