Date,Sector_Index,Simple_Avg_Index
2019-09-30 00:00:00-04:00,-2.8877252187856,-15.022615419317772
2019-12-31 00:00:00-05:00,-21.077499006154774,-33.6282406609042
2020-03-31 00:00:00-04:00,-38.84559645413677,-50.20394504391404
2020-06-30 00:00:00-04:00,-41.02005825191269,-52.909055221087236
2020-09-30 00:00:00-04:00,-13.17656192171335,-18.601908974679187
2020-12-31 00:00:00-05:00,4.4111507124829785,-0.26055290252360164
2021-03-31 00:00:00-04:00,52.300082951242146,47.64040866106346
2021-06-30 00:00:00-04:00,41.66539759790773,43.672161233112284
2021-09-30 00:00:00-04:00,43.42387134328553,41.52826714003933
2021-12-31 00:00:00-05:00,24.51944290693737,23.830937679407455
2022-03-31 00:00:00-04:00,23.257339111174115,26.75810245367713
2022-06-30 00:00:00-04:00,16.095683942177008,16.48933406338837
2022-09-30 00:00:00-04:00,10.44310570622569,8.347466102001345
2022-12-31 00:00:00-05:00,21.260047431677357,20.3948123808331
2023-03-31 00:00:00-04:00,5.148225110916361,1.9584021849534574
2023-06-30 00:00:00-04:00,9.188408321339574,7.127306231099873
2023-09-30 00:00:00-04:00,17.589118337559864,18.482997835080322
2023-12-31 00:00:00-05:00,11.132827506015534,8.593549934540642
2024-03-31 00:00:00-04:00,45.79813965592977,40.722215230270145
2024-06-30 00:00:00-04:00,43.99324993842576,37.52136882306336
2024-09-30 00:00:00-04:00,61.99547608836776,53.25289729594258
