MarketCap,Ticker,Date,Return
16358636086.486816,COR,2020-03-31,0.04551621351194024
18720231009.33838,COR,2020-06-30,0.14436380333702625
18078923615.112305,COR,2020-09-30,-0.034257450877938744
18311550022.521973,COR,2020-12-31,0.012867270881946391
22207793732.666016,COR,2021-03-31,0.21277519955175417
21614040769.592285,COR,2021-06-30,-0.026736242700253654
22633378973.876953,COR,2021-09-30,0.047160927248676376
25272479424.682617,COR,2021-12-31,0.11660214119383894
29518055294.311523,COR,2022-03-31,0.16799205959516672
27075967767.333984,COR,2022-06-30,-0.08273199242391005
25979628770.1416,COR,2022-09-30,-0.040491221093676644
31909588572.875977,COR,2022-12-31,0.22825421622458597
30926258643.676758,COR,2023-03-31,-0.030816126850193082
37275729281.98242,COR,2023-06-30,0.20531001539702531
34953380223.63281,COR,2023-09-30,-0.062301908053402966
39992086242.91992,COR,2023-12-31,0.1441550427183096
47417342793.45703,COR,2024-03-31,0.1856681470787649
44065574888.671875,COR,2024-06-30,-0.07068654014175713
44117480998.90137,COR,2024-09-30,0.0011779288108830777
44979915002.56348,COR,2024-12-31,0.019548577664340927
