MarketCap,Ticker,Date,Return
7773140621.368408,TRMB,2020-03-31,-0.23650753244894696
10547343184.631348,TRMB,2020-06-30,0.3568959701612293
11892929786.315918,TRMB,2020-09-30,0.12757588125559804
16305767340.20996,TRMB,2020-12-31,0.371047137516231
18996940543.5791,TRMB,2021-03-31,0.16504425380415655
19983541087.158203,TRMB,2021-06-30,0.051934707134332125
20086108000.0,TRMB,2021-09-30,0.005132569467765968
21292496116.210938,TRMB,2021-12-31,0.06006081995630708
17617164970.947266,TRMB,2022-03-31,-0.1726115681883571
14220231728.21045,TRMB,2022-06-30,-0.1928195171208733
13253168271.78955,TRMB,2022-09-30,-0.06800616719222752
12347156815.368652,TRMB,2022-12-31,-0.06836187678605254
12801382912.841797,TRMB,2023-03-31,0.03678791030723483
12928371184.631348,TRMB,2023-06-30,0.00991988698831614
13153043029.052734,TRMB,2023-09-30,0.01737820187963557
12991865786.315918,TRMB,2023-12-31,-0.012253988858761056
15717227029.052734,TRMB,2024-03-31,0.20977443021366393
13656110912.841797,TRMB,2024-06-30,-0.13113738908275852
15162874757.263184,TRMB,2024-09-30,0.11033623364939649
14984603029.052734,TRMB,2024-12-31,-0.011757119350013445
