MarketCap,Ticker,Date,Return
7475804684.555054,EG,2020-03-31,-0.3003222833778548
8072009468.893433,EG,2020-06-30,0.07975125213880085
7787849414.309692,EG,2020-09-30,-0.035203136923809275
9292160092.236328,EG,2020-12-31,0.1931612436114336
9896701423.864746,EG,2021-03-31,0.06505928929630866
10123972675.131226,EG,2021-06-30,0.022964343525454067
10132121663.223267,EG,2021-09-30,0.0008049200006297053
11132303383.795166,EG,2021-12-31,0.09871394697146951
12318492020.471191,EG,2022-03-31,0.10655374685554397
11525356636.24878,EG,2022-06-30,-0.06438575297238969
10856982876.168823,EG,2022-09-30,-0.05799159029733025
13774575719.86084,EG,2022-12-31,0.26872961641085014
14955671402.929688,EG,2023-03-31,0.08574461435976488
14348244545.178223,EG,2023-06-30,-0.040615151362076274
15671727826.391602,EG,2023-09-30,0.09224008393822225
14972146445.489502,EG,2023-12-31,-0.044639709714967446
16907224858.099365,EG,2024-03-31,0.1292452234323973
16290136734.246826,EG,2024-06-30,-0.03649848683220913
16840304260.894775,EG,2024-09-30,0.03377304534782266
16331868000.0,EG,2024-12-31,-0.030191631517930806
