MarketCap,Ticker,Date,Return
9859869652.31543,NI,2020-03-31,-0.09672380367927025
9050095929.256104,NI,2020-06-30,-0.08212823816277981
8830483086.880615,NI,2020-09-30,-0.024266355195810663
9291968309.820557,NI,2020-12-31,0.052260473000120156
9861033287.881104,NI,2021-03-31,0.06124267314376319
10107368793.993164,NI,2021-06-30,0.024980699174274035
10082972511.077637,NI,2021-09-30,-0.002413712550988212
11592181130.44751,NI,2021-12-31,0.1496789382011885
13459134235.66211,NI,2022-03-31,0.1610527893073499
12579622506.5896,NI,2022-06-30,-0.06534682793653279
10832211365.723145,NI,2022-09-30,-0.13890807454286536
11901397472.621094,NI,2022-12-31,0.09870432461105993
12247900010.273193,NI,2023-03-31,0.029114441261979707
12087506157.684082,NI,2023-06-30,-0.013095620674121844
11005820094.135742,NI,2023-09-30,-0.08948794312387642
11958601690.192383,NI,2023-12-31,0.08657070421897162
12585133527.363525,NI,2024-03-31,0.05239173052188706
13233894632.17334,NI,2024-06-30,0.05154979908629742
16051886996.182129,NI,2024-09-30,0.21293749439094656
16274250897.393066,NI,2024-12-31,0.013852819999531807
