MarketCap,Ticker,Date,Return
32825796247.558594,TFC,2020-03-31,-0.44785060351555417
40544675021.362305,TFC,2020-06-30,0.23514673385501794
41542631841.12549,TFC,2020-09-30,0.024613758014767173
52816355302.12402,TFC,2020-12-31,0.27137720845692814
64808584074.70703,TFC,2021-03-31,0.22705521242395799
62143952694.0918,TFC,2021-06-30,-0.041115408069147485
66210996856.0791,TFC,2021-09-30,0.06544553388819074
66591826320.19043,TFC,2021-12-31,0.00575175548163287
64963808466.796875,TFC,2022-03-31,-0.02444771293049741
54905275961.91406,TFC,2022-06-30,-0.15483286374787808
50922417180.78613,TFC,2022-09-30,-0.07254054754028927
50921100518.18848,TFC,2022-12-31,-2.585624702344802e-05
40783983512.57324,TFC,2023-03-31,-0.19907497878987046
36988336428.52783,TFC,2023-06-30,-0.09306710029625365
35453576267.700195,TFC,2023-09-30,-0.04149308428058762
46547552495.72754,TFC,2023-12-31,0.31291557568860706
49864807949.21875,TFC,2024-03-31,0.07126594795280994
50363367305.9082,TFC,2024-06-30,0.009998220733090424
56138973623.65723,TFC,2024-09-30,0.1146787164302947
56847763484.49707,TFC,2024-12-31,0.01262562913229237
