MarketCap,Ticker,Date,Return
6538061758.727417,MPC,2020-03-31,-0.6040295289050817
10521463298.387695,MPC,2020-06-30,0.6092633698883285
8384237658.203247,MPC,2020-09-30,-0.20313007607144873
11989824703.209229,MPC,2020-12-31,0.43004351641657346
15686488350.171387,MPC,2021-03-31,0.3083167384401124
17887420104.158936,MPC,2021-06-30,0.14030748659966985
18482554435.746094,MPC,2021-09-30,0.033271110541468474
19303756126.459717,MPC,2021-12-31,0.044431179335545856
25983014663.0083,MPC,2022-03-31,0.34600823242857404
25134319883.970703,MPC,2022-06-30,-0.032663445333226626
30553463213.98242,MPC,2022-09-30,0.21560731919656018
36025211825.32324,MPC,2022-12-31,0.17908767241930001
41977533490.55859,MPC,2023-03-31,0.16522655561601107
36549643864.35498,MPC,2023-06-30,-0.12930463452371332
47680049951.578125,MPC,2023-09-30,0.3045284416048186
46998540121.58789,MPC,2023-12-31,-0.014293395889525051
64143869973.31055,MPC,2024-03-31,0.36480558347911907
55486527561.413086,MPC,2024-06-30,-0.13496757235725987
52357481863.68164,MPC,2024-09-30,-0.05639289094579192
46524268716.47754,MPC,2024-12-31,-0.11141126233670862
