MarketCap,Ticker,Date,Return
6453605503.005859,HWM,2020-03-31,-0.47772892410756695
6369218599.602051,HWM,2020-06-30,-0.013075931487368408
6718822592.105469,HWM,2020-09-30,0.05488962060828961
11468613563.715332,HWM,2020-12-31,0.7069379949384
12911230315.562012,HWM,2021-03-31,0.1257882431762165
13851544956.536133,HWM,2021-06-30,0.07282920511771462
12545687788.618652,HWM,2021-09-30,-0.09427519977122012
12807433409.280762,HWM,2021-12-31,0.02086339346811772
14470047499.421875,HWM,2022-03-31,0.12981633688888206
12669230221.400879,HWM,2022-06-30,-0.12445137295457698
12466450746.651367,HWM,2022-09-30,-0.016005666580040212
15902344381.480469,HWM,2022-12-31,0.2756112148240768
17113497875.731445,HWM,2023-03-31,0.07616194601227866
20035511897.472656,HWM,2023-06-30,0.17074323688583282
18712961460.682617,HWM,2023-09-30,-0.06601031426388815
21919873007.99121,HWM,2023-12-31,0.17137381242656669
27739230379.126953,HWM,2024-03-31,0.2654831699533209
31487938964.716797,HWM,2024-06-30,0.1351410451679529
40698367734.00781,HWM,2024-09-30,0.29250656194460944
41059679408.79297,HWM,2024-12-31,0.008877792769149462
