MarketCap,Ticker,Date,Return
95428527438.06836,BMY,2020-03-31,-0.1255098029929239
101500518102.30664,BMY,2020-06-30,0.06362867401657124
104866615693.16406,BMY,2020-09-30,0.03316335378174706
109571551597.0957,BMY,2020-12-31,0.04486590773271559
112384461368.61719,BMY,2021-03-31,0.025671898686483896
118953415853.82617,BMY,2021-06-30,0.05845073602891637
106977696465.13867,BMY,2021-09-30,-0.10067570824030525
112727058708.86914,BMY,2021-12-31,0.053743559954144704
134176131109.02344,BMY,2022-03-31,0.19027439060171925
142452795734.7539,BMY,2022-06-30,0.06168507436695547
131519081038.48828,BMY,2022-09-30,-0.07675324755734614
134123783293.83984,BMY,2022-12-31,0.01980474798625842
130224637015.02734,BMY,2023-03-31,-0.029071251817212818
121142871347.61719,BMY,2023-06-30,-0.06973922811827193
110924115157.60352,BMY,2023-09-30,-0.0843529303568441
99057246110.59766,BMY,2023-12-31,-0.10698186801080312
105909525602.01758,BMY,2024-03-31,0.06917494439295568
82050271899.71094,BMY,2024-06-30,-0.225279582423624
103776356001.73242,BMY,2024-09-30,0.26478990988082307
106803956805.4043,BMY,2024-12-31,0.029174283240599896
