Sector,Ranking
Industrial Machinery & Supplies & Components,18:GWW;15:IR;14:PH;13:HUBB;12:PNR;12:XYL;10:ITW;10:SNA;7:DOV;7:NDSN;6:IEX;5:FTV;5:OTIS;4:SWK
Construction Machinery & Heavy Transportation Equipment,14:CAT;13:PCAR;7:WAB;5:CMI
Biotechnology,13:REGN;13:VRTX;12:AMGN;10:ABBV;7:BIIB;7:MRNA;6:GILD;1:INCY
Automobile Manufacturers,12:TSLA;8:F;5:GM
Health Care Supplies,12:WST;10:COO;7:ALGN
Passenger Airlines,18:DAL;11:UAL;4:LUV
Household Products,11:CHD;11:CL;10:KMB;5:CLX
Apparel, Accessories & Luxury Goods,11:RL;10:TPR;7:LULU;7:NKE
Application Software,16:SNPS;15:CDNS;14:ORCL;10:FICO;8:PTC;7:ADBE;7:INTU;4:ADSK;4:CRM;4:TYL;1:ANSS
Telecom Tower REITs,14:AMT;7:SBAC;6:CCI
Environmental & Facilities Services,11:WM;11:RSG;7:ROL
Semiconductors,13:NVDA;11:AMD;11:AVGO;11:ON;11:QCOM;10:MPWR;9:FSLR;7:MU;6:MCHP;5:ADI;5:INTC;4:NXPI;3:QRVO;3:TXN;2:SWKS
Electric Utilities,14:EXC;14:SO;13:PEG;11:VST;8:AEP;8:ETR;7:CEG;7:DUK;7:EIX;7:FE;6:ES;4:LNT;4:PPL;4:WEC;2:EVRG
Internet Services & Infrastructure,12:GDDY;11:PLTR;7:VRSN;6:AKAM
Electronic Equipment & Instruments,15:ROP;10:TDY;8:ZBRA;8:KEYS;7:TRMB
Rail Transportation,14:UNP;9:CSX;8:NSC
Health Care Equipment,17:ISRG;13:BSX;13:ABT;12:IDXX;12:SYK;11:DXCM;10:RMD;9:HOLX;9:PODD;9:STE;8:RVTY;7:EW;7:MDT;7:ZBH;5:BDX;4:GEHC;1:BAX;1:TFX
Paper & Plastic Packaging Products & Materials,14:AVY;11:PKG;11:IP;5:AMCR
Transaction & Payment Processing Services,16:V;14:MA;12:FI;9:CPAY;7:FIS;6:PYPL;5:JKHY;2:GPN
Soft Drinks & Non-alcoholic Beverages,12:KO;10:MNST;8:PEP;8:KDP
Multi-Family Residential REITs,15:MAA;12:EQR;11:AVB;9:CPT;6:ESS;4:UDR
Consumer Finance,15:AXP;12:COF;10:DFS;7:SYF
Fertilizers & Agricultural Chemicals,14:CTVA;12:CF;7:MOS;5:FMC
Personal Care Products,16:PG;5:EL;1:KVUE
Life & Health Insurance,16:AFL;14:PRU;11:MET;11:PFG;5:GL
Oil & Gas Refining & Marketing,17:MPC;9:VLO;6:PSX
Insurance Brokers,18:AJG;12:BRO;12:MMC;10:ERIE;5:AON;1:WTW
Health Care Services,11:CI;9:DVA;9:CVS;7:LH;6:DGX
