Company,MktCap_Growth_Score,Revenue_Growth_Score,Beta_6M_Covariance,Beta_4Y_Covariance,Date_Range
MOH,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PG,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DAL,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FITB,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
RMD,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SHW,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SPG,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PYPL,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MPWR,0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ADM,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ANET,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ABT,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ULTA,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
GE,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FTV,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DVN,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
UPS,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
JKHY,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
BAX,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
STLD,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ICE,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
HWM,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CB,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PH,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
NTRS,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DRI,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CPRT,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KHC,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
RL,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EMN,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
BK,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
WAT,-0.3333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MAS,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TER,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MSCI,0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EA,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EXR,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KMX,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MCHP,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
STZ,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DOW,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MET,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ORCL,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MMC,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CTVA,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
WELL,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
VRSK,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
NSC,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CTRA,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ADP,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TFX,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
BIIB,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PEG,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CPAY,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KR,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DIS,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CE,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TTWO,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KIM,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
INCY,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
LNT,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
VTR,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CMG,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CTSH,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MRK,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
NFLX,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MAA,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
LEN,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
NI,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MTCH,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SNPS,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ES,0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
RJF,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FOXA,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
TSLA,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MLM,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MKTX,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
META,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
WBD,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
JBHT,0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
IPG,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SYK,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
FSLR,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
HES,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
KLAC,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CCI,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DLTR,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
WFC,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
LYV,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
BWA,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DUK,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
LW,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
GM,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SBUX,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
EPAM,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
DLR,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SLB,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
UNH,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
LHX,0.0,0.0,0.0,0.0,2021-03-31 to 2023-12-31
MGM,-0.13333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PARA,-0.3333333333333333,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PFE,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
PNR,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
AMT,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CFG,-0.26666666666666666,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CNP,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ORLY,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
BRO,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
CMS,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ZBH,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ABNB,-0.16666666666666666,0.0,0.0,0.0,2021-03-31 to 2023-12-31
MCD,0.0,0.0,0.0,0.0,2020-06-30 to 2023-12-31
IRM,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
SBAC,-0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
HON,-0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
ALLE,0.06666666666666667,0.0,0.0,0.0,2020-06-30 to 2023-12-31
MSFT,0.2,0.0,0.0,0.0,2020-06-30 to 2023-12-31
